AWAY,HOME,TIME,TV,TICKETS,LOCATION,ODDS_BY,DATE
Penn State-York,@  UMBC,6:00 PM,ESPN+,Tickets as low as $32,"Chesapeake Employers Insurance Arena, Baltimore, MD",,2025-11-04
Evansville,@  1 Purdue,6:30 PM,BTN,Tickets as low as $21,"Mackey Arena, West Lafayette, IN",Line: PUR -35.5O/U: 150.5,2025-11-04
Nicholls,@  9 Kentucky,7:00 PM,SECN+,Tickets as low as $18,"Rupp Arena, Lexington, KY",Line: UK -31.5O/U: 156.5,2025-11-04
East-West University,@  SIU Edwardsville,7:00 PM,ESPN+,,"First Community Arena, Edwardsville, IL",,2025-11-04
North Carolina A&T,@  South Carolina,7:00 PM,SECN+,Tickets as low as $6,"Colonial Life Arena, Columbia, SC",Line: SC -22.5O/U: 143.5,2025-11-04
Alcorn State,@  Florida State,7:00 PM,ACC Extra,Tickets as low as $7,"Tucker Center, Tallahassee, FL",Line: FSU -27.5O/U: 156.5,2025-11-04
Converse University,@  East Tennessee State,7:00 PM,ESPN+,,"Freedom Hall (TN), Johnson City, TN",,2025-11-04
Caldwell,@  Monmouth,7:00 PM,,,"OceanFirst Bank Center, West Long Branch, NJ",,2025-11-04
St. Joseph's (NY),@  Manhattan,7:00 PM,ESPN+,,"Draddy Gymnasium, Riverdale, NY",,2025-11-04
Merchant Marine Academy,@  Sacred Heart,7:00 PM,ESPN+,Tickets as low as $14,"William H. Pitt Center, Fairfield, CT",,2025-11-04
NJIT,@  Fordham,7:00 PM,ESPN+,Tickets as low as $7,"Rose Hill Gym, Bronx, NY",Line: FOR -16.5O/U: 147.5,2025-11-04
Georgia Southern,@  East Carolina,7:00 PM,ESPN+,Tickets as low as $18,"Minges Coliseum, Greenville, NC",Line: ECU -5.5O/U: 151.5,2025-11-04
Mount St. Mary's,@  West Virginia,7:00 PM,ESPN+,Tickets as low as $22,"WVU Coliseum, Morgantown, WV",Line: WVU -19.5O/U: 136.5,2025-11-04
UNC Asheville,@  Wichita State,7:30 PM,ESPN+,Tickets as low as $18,"Charles Koch Arena, Wichita, KS",Line: WICH -7.5O/U: 157.5,2025-11-04
Lindenwood,@  10 Texas Tech,8:00 PM,ESPN+,Tickets as low as $10,"United Supermarkets Arena, Lubbock, TX",Line: TTU -35.5O/U: 148.5,2025-11-04
West Coast Baptist,@  Utah Valley,8:00 PM,ESPN+,,"UCCU Center, Orem, UT",,2025-11-04
College Of Biblical Studies,@  Rice,8:00 PM,ESPN+,Tickets as low as $12,"Tudor Fieldhouse, Houston, TX",,2025-11-04
Arkansas Baptist,@  Little Rock,8:00 PM,ESPN+,,"Jack Stephens Center, Little Rock, AR",,2025-11-04
Missouri Southern State,@  Missouri State,8:00 PM,ESPN+,,"Great Southern Bank Arena, Springfield, MO",,2025-11-04
Eastern Illinois,@  Valparaiso,8:00 PM,ESPN+,Tickets as low as $66,"Athletics-Recreation Center, Valparaiso, IN",Line: VAL -6.5O/U: 144.5,2025-11-04
